Name Of Hotel,City,Country,Rating,Amenities,Description,Reviews
The James Rotterdam,Rotterdam,Netherlands, 9.1 ,"Free WiFi, Non-smoking rooms, 
good fitness centre
, Facilities for disabled guests, 24-hour front desk, Lift, Tea/coffee maker in all rooms","Located in the heart of Rotterdam, The James Rotterdam is situated in the middle of vibrant streets like the Coolsingel, the Meent and the Lijnbaan. The property is set 650 yards from Markthal Rotterdam and 3.3 miles from Ahoy Rotterdam. The James Rotterdam is where you renew, recover and refresh after a busy day in bustling Rotterdam.","“Extremely comfy bed, asked at reception where they got it from. Heatwave when we there, but air con functioned great. Good choice of UK TV catch up channels, including BBC iPlayer and All4 plus Prime and Netflix. 24 hr mini market on 2nd floor great and very handy with good and reasonably priced wine and beers like Duvel and La Chouffe. Also snacks and a breakfast option which we didn't try.  Lovely luxe decor throughout  hotel and boutique feel to room with velvet sofa and chair and funky lighting.  Useful fridge and Lavazza coffee machine in room too.  Very central location, near shops, and nice restaurant and bar area within walking distance.
”
“Loved the design of the rooms and lounge upstairs.
The mini market available 24hrs is excellent 
”
"
Monet Garden Hotel Amsterdam,Amsterdam,Netherlands, 9.0 ,"Free WiFi, Family rooms, Non-smoking rooms, Fitness centre, Room service, Facilities for disabled guests, Tea/coffee maker in all rooms, Bar","Monet Garden Hotel Amsterdam is a boutique hotel and offers modern accommodation in Amsterdam, located next to the canals. It offers air-conditioned rooms with free WiFi throughout the property. Most rooms have canal views and garden views.","“Clean safe good size rooms friendly helpful staff great location robes in the room were a nice touch ”
“Location : just next to the Waterlooplein - easy access with the public transport. ”
"
Hotel Janssen,Valkenburg,Netherlands, 9.1 ,"Family rooms, Free WiFi, Non-smoking rooms, 24-hour front desk","Featuring a terrace, Hotel Janssen is set in Valkenburg in the Limburg region, 1.1 miles from Recreatiepark De Valkenier and 1.8 miles from Cauberg. Among the facilities at this property are a 24-hour front desk and a shared lounge, along with free WiFi throughout the property. The hotel has newspapers, a fax machine and photocopier and an ATM machine that guests can use.","“The staff was super nice. The breakfast was amazing. The location is perfect, it was a 1 minute walk to the centre of town and yet at the hotel is was nice and quiet. Our view of the castle was stunning. In the downstairs lounge area there is free coffee/tea and loads of boardgames to play. ”
“Friendly staff, very helpful. Nice location, right in the center! Close to main attractions as well. Clean room, comfortable beds.”
"
Boutique Hotel Texel,Cocksdorp,Netherlands, 9.0 ,"1 swimming pool, Free WiFi, Free parking, Non-smoking rooms, Facilities for disabled guests, Tea/coffee maker in all rooms, Bar",Hotel Texel is characterized by its welcoming hospitality in combination with modern comforts. Relax in this charming hotel with a heated indoor pool and a fine dining restaurant.,"“The room was really clean and comfortable with no noise from other guests. Tasty breakfast and lovely staff. We spent most of our time outdoors due to good weather so we didn't get a chance to try the spa facilities. If I return to Texel I'd stay here again :)”
“Great little hotel, loved the spa: pool & jacuzzi with a view that was never crowded, massages were really good. Lovely resturant - breakfast was great with lots of fresh local produce and so was the dinner and service!”
"
Hotel Sebastians,Amsterdam,Netherlands, 9.3 ,"Parking, Free WiFi, Family rooms, Airport shuttle, Non-smoking rooms, Bar, Tea/coffee maker in all rooms",This hotel offers boutique-style ,"“We found the Hotel to be superbly located for access to all the attractions of Amsterdam.The staff were fantastic and very helpful, customer service is clearly at the heart of this Hotel’s core values!We had the breakfast on one of the mornings and was plenty to set us up for the walking we did.”
“The staff were fantastic. Melissa and Lom were very friendly and helpful throughout. All the staff were very good. Room was large comfortable with great view over the canal. AC was great as it was very hot outside. We were able to keep our room for the last day which was handy. Great G&T’s!! Would definitely recommend.”
"
Het Arresthuis,Roermond,Netherlands, 9.4 ,"Free parking, Free WiFi, Fitness centre, Restaurant, Non-smoking rooms, 24-hour front desk, Tea/coffee maker in all rooms, Bar","Situated in a former detention centre in the historic centre of Roermond, Het Arresthuis offers luxurious rooms with free WiFi and a flat-screen TV. Facilities include a sauna and a gym.","“Very close to the center and the train station. The staff were very friendly, helpful and accommodating. We enjoyed the prison theme!”
“Room concept was interesting, based on a few former prison cells. It was clean, reasonably priced, amenities are well provided. And the early breakfast is awesome!”
"
Andaz Amsterdam Prinsengracht - a concept by Hyatt,Amsterdam,Netherlands, 9.1 ,"Parking, Free WiFi, Spa and wellness centre, Pets allowed, Non-smoking rooms, 
good fitness centre
, Bar","Set in Amsterdam’s former public library in the heart the canal belt, lifestyle hotel Andaz Amsterdam Prinsengracht - a concept by Hyatt offers elegant design rooms with free WiFi. The Jordaan area and Museumplein are within a 15-minute walk and Negen Straatjes is just 150 yards away.","“From the moment we walked into the lobby to check in, we were blown away by both the warm reception and the ambience!  It felt like we were guests in a good friend's home which happened to be an art gallery.  Our room was luxurious, and every inch of the hotel was a feast for the eyes.  We ate at the restaurant, had breakfast in bed, and had drinks at the bar... service for all three occasions was first class.  People who staff the Andaz clearly have a personal investment in providing best experience possible, and they scored 10 after 10 on every score card.  This is now the experience we will judge other hotels against.  Special thanks to Cesar, Sabrina and Livia!”
“Great hotel with really friendly staff who went out of their way to help and make my wife’s 30th special. Lots of lovely touches that made it very worthwhile, like the delicious cookies & complimentary wine hours! The spa was good to relax in between sightseeing and going out in the evening. Excellent location, will stay here again when we next return to Amsterdam!”
"
Mr. Jordaan,Amsterdam,Netherlands, 9.2 ,"Free WiFi, Non-smoking rooms, 24-hour front desk, Lift, Heating, Daily housekeeping, Tea/coffee maker in all rooms",Offering air-conditioned rooms in the ,"“The staff, the location, the decor, the breakfast - everything perfect.
The room is small but cozy, ours had a view on the canal. They even gave us a care package when we checked out filled with water bottles and snacks. Truly a gem in Amsterdam and i would definitely stay there again next time.”
“Super friendly and helpful staff, beautiful location, right on the canals. Loved the vibe of the place. Area not too touristy, still full of character. All of Amsterdam in walking or tram distance. Highly recommend.”
"
"Hotel Nassau Breda, Autograph Collection",Breda,Netherlands, 9.1 ,"Parking, Pets allowed, Free WiFi, Fitness centre, Non-smoking rooms, Restaurant, Bar","Set in a historical building, Hotel Nassau Breda, Autograph Collection by Marriott boasts air-conditioned rooms with free WiFi. Guests can enjoy the on-site bar. Private parking is available on site.","“This hotel is great, and totally surpassed expectations. We had done a LONG day 130km cycle to the hotel, and when we arrived we were upgraded to a suite which was brilliant. However, all the rooms seem to be large and comfortable. The location is perfect for the centre of town near the bars and restaurants. Our room was at the front on the main street, but we didn't hear any noise during our stay. Honestly couldn't recommend this hotel enough.”
“Stylish and interesting hotel, really close to the centre - we absolutely loved it - and really friendly staff. There is an excellent restaurant in a former chapel.  
Overall we would recommend it and hope we will return at some point. ”
"
QO Amsterdam,Amsterdam,Netherlands, 9.0 ,"Parking, Free WiFi, Non-smoking rooms, Restaurant, Room service, Facilities for disabled guests, Bar","The QO is located alongside the Amstel river in Amsterdam. This hotel combines luxury, technology and sustainability in a living building shaped by nature. Guests can enjoy Dutch cuisine at the on-site bar and restaurant. Free WiFi is offered throughout the property.","“The Design of the Hotel is amazing.We really appreciated all the efforts the hotel is doing in terms of sustainability.The comfort of the bed is a 10/10 too. Great stay!”
“Very modern hotel with impressive facilities. Relatively short journey from the central station. The staff are very kind and welcoming. Super good value for money, the rooms have more than you could ever need, and if not room service is available. Overall it was a wonderful experience and ill definitely come back here for my next Amsterdam visit.”
"
Motel One Amsterdam-Waterlooplein,Amsterdam,Netherlands, 9.0 ,"Free WiFi, Pets allowed, Non-smoking rooms, Facilities for disabled guests, 24-hour front desk, Bar","Motel One Amsterdam-Waterlooplein features air-conditioned rooms with satellite flat-screen TV in the Amsterdam City Centre district of Amsterdam. Boasting a bar, the hotel is close to several noted attractions, around 550 yards from Rembrandt House, 650 yards from Dutch National Opera & Ballet and 0.9 miles from Artis Zoo. The accommodation features a 24-hour front desk, and luggage storage for guests.","“Stuff were amazing, and the room was small but comfortable.
”
“Friendly staff, comfy bed, shower big enough fir 2 people ”
"
Monet Garden Hotel Amsterdam,Amsterdam,Netherlands, 9.0 ,"Free WiFi, Family rooms, Non-smoking rooms, Fitness centre, Room service, Facilities for disabled guests, Tea/coffee maker in all rooms, Bar","Monet Garden Hotel Amsterdam is a boutique hotel and offers modern accommodation in Amsterdam, located next to the canals. It offers air-conditioned rooms with free WiFi throughout the property. Most rooms have canal views and garden views.","“Clean safe good size rooms friendly helpful staff great location robes in the room were a nice touch ”
“Location : just next to the Waterlooplein - easy access with the public transport. ”
"
Hotel Janssen,Valkenburg,Netherlands, 9.1 ,"Family rooms, Free WiFi, Non-smoking rooms, 24-hour front desk","Featuring a terrace, Hotel Janssen is set in Valkenburg in the Limburg region, 1.1 miles from Recreatiepark De Valkenier and 1.8 miles from Cauberg. Among the facilities at this property are a 24-hour front desk and a shared lounge, along with free WiFi throughout the property. The hotel has newspapers, a fax machine and photocopier and an ATM machine that guests can use.","“The staff was super nice. The breakfast was amazing. The location is perfect, it was a 1 minute walk to the centre of town and yet at the hotel is was nice and quiet. Our view of the castle was stunning. In the downstairs lounge area there is free coffee/tea and loads of boardgames to play. ”
“Friendly staff, very helpful. Nice location, right in the center! Close to main attractions as well. Clean room, comfortable beds.”
"
Park Plaza Victoria Amsterdam,Amsterdam,Netherlands, 8.4 ,"1 swimming pool, Free WiFi, Family rooms, Non-smoking rooms, 
good fitness centre
, Bar",Park Plaza Victoria Amsterdam is ,"“Slap bang in the middle of everything. Easy to find. Five mins from train station ( and airport train). 
Helpful staff. Nice room. 
”
“The staff were extremely nice. The bar staff were the kindest. Any service we required, they were quick to cater to us. The location was spot on. If I go back I’ll be returning to this hotel for sure. ”
"
ART Hotel Rotterdam,Rotterdam,Netherlands, 7.6 ,"Parking, Free WiFi, Family rooms, Non-smoking rooms, Restaurant, Room service, Bar",ART Hotel Rotterdam is situated in a building with a ,"“Ontbijt was prima. Heerlijk lounge gedeelte. Leuke bediening. Gaven je een welkom gevoel”
“the front is just a little sketchy at night with aggressive drunks”
"
Park Plaza Amsterdam Airport,Lijnden,Netherlands, 8.0 ,"Spa and wellness centre, Free WiFi, 
good fitness centre
, Tea/coffee maker in all rooms, Bar","The Park Plaza Amsterdam Airport is strategically located close to the A9, a 10-minute drive from ","“The executive room was spacious and perfect with a baby. Staff were friendly and it was a short taxi journey to the airport.”
“Das Zimmer war sauber und das Team auch war sehr freundlich .
”
"
citizenM Schiphol Airport,Schiphol,Netherlands, 8.8 ,"Free WiFi, Non-smoking rooms, Restaurant, Facilities for disabled guests, Bar",citizenM Schiphol Airport is a ,"“Walking distance to Amsterdam airport. Quick check-in and friendly and helpful staff. Clean room and bathroom facilities.”
“Very smart design of the room, although small, it feels you have a lot of space. Ipad which controls the whole room is fun for the kids.”
"
Hotel Casa Amsterdam,Amsterdam,Netherlands, 8.5 ,"Free WiFi, Family rooms, Non-smoking rooms, Restaurant, Facilities for disabled guests, 24-hour front desk, Tea/coffee maker in all rooms, Bar",Hotel ,"“good room, rooftop restaurant and bar, friendly staff good price”
“We didn't have high expectations for this hotel regarding the really cheap price, but it was way beyond what we thought. Super nice and welcoming people, we arrive few hours earlier than we expected, and they let us do the check in without any extra charge. Room was clean and modern. Location really comfortable, 5 min walking from the metro and tram station.”
"
Leonardo Hotel Amsterdam Rembrandtpark,Amsterdam,Netherlands, 8.1 ,"Free WiFi, Family rooms, Airport shuttle, Non-smoking rooms, Fitness centre, Restaurant, Tea/coffee maker in all rooms, Bar",Leonardo Hotel Amsterdam Rembrandtpark offers modern and elegant rooms next to Rembrandtpark and the A10 ring road in Amsterdam. It includes a 17th-floor sky bar with scenic views over Amsterdam and free WiFi. Guests can make use of the shuttle bus service to Schiphol Airport.,"“Uitzicht vanaf het hotel. Verzorgde kamer. Ruim assortiment ontbijt”
“The services were fantastic,  the environment was quiet and lovely.The covid 19 precaution rules were in place.”
"
Holiday Inn Express Amsterdam Arena Towers,Amsterdam,Netherlands, 8.1 ,"Parking, Free WiFi, Non-smoking rooms, Restaurant, Facilities for disabled guests, 24-hour front desk, Bar","Holiday Inn Express Amsterdam Arena Towers is located in the centre of Amsterdam Southeast, the most dynamic entertainment area of that part of Amsterdam. ","“Air conditioned room, beautiful views to Schiphol and the Stadium from the 14th floor!”
“•The room was very clean
•You can have some tea at your room 
•The bed is super comfortable
•The shower 🚿 is big and very pleasant
•The price was okey for a hotel in Amsterdam
”
"
Park Inn by Radisson Amsterdam City West,Amsterdam,Netherlands, 8.3 ,"Parking, Free WiFi, Spa and wellness centre, Family rooms, Non-smoking rooms, 
good fitness centre
, Tea/coffee maker in all rooms, Bar","Set in Amsterdam, Park Inn by Radisson Amsterdam City West offers unique accommodation in the VEN mixed-use complex. Guests can enjoy the casino and multiple other facilities in the VEN building, all open 24/7. Free WiFi is offered throughout the property.","“Good location, so close to train station. Clean rooms and helpfull staff.”
“Staff welcoming, Prompt service,clean hotel, Good WiFi and television service.. Central to everywhere you want to go..”
"
Thon Hotel Orion,Bergen,Norway, 9.0 ,"Free WiFi, Family rooms, Non-smoking rooms, 
superb fitness centre
, 24-hour front desk, Tea/coffee maker in all rooms, Bar",Located by the UNESCO-listed ,"“All was good. Bed was comfortable, quiet room. Very good breakfast. ”
“Excellent location, right at the top of Bryggen.  The room, while not particularly spacious, was clean and comfortable.  The breakfast was very good, with hot and cold buffet.  All interaction with the staff was good - they were all helpful and friendly.  Plenty of hand sanitiser available.”
"
Thon Hotel Storo,Oslo,Norway, 9.2 ,"Parking, Free WiFi, Family rooms, Fitness centre, Non-smoking rooms, Restaurant, Tea/coffee maker in all rooms, Bar","Opened in September 2018, this hotel is situated next to the Storo Storcenter shopping centre, between the Storo and Nydalen neighborhoods of Oslo, about 3.1 miles from the city centre. It offers an on-site restaurant, bar and fitness centre. Free WiFi is available.","“The clean rooms, very spacious size, really warm. Excellent customer service, amazing breakfast and so many choices to choose from. Cheap rooms, 5 mins walk to subway or 3 mins walk to bus stop. ”
“The breakfast was excellent, the room was large and everything looked new and very clean.”
"
Amerikalinjen,Oslo,Norway, 9.3 ,"Parking, Free WiFi, Pets allowed, Fitness centre, Non-smoking rooms, Restaurant, Tea/coffee maker in all rooms, Bar","Located right in the city centre of Oslo, Amerikalinjen is a vibrant boutique hotel named after the 19th century cruise ship line of the same name. Free WiFi and a 24/7 front-desk are provided for guests' comfort.","“Great location - very close to main train station.Quiet room and comfortable room.”
“The location couldn't have been anymore perfect, right in the middle of everything you'd want to explore.. Shout out to Adrian, who makes the best cocktails and pairs them with intriguing stories about their special composition. The breakfast was fresh and great too.”
"
North of Lyngen Apartments AS,Sørkjosen,Norway, 9.1 ,,"Set in Sørkjosen, 26.7 miles from Hurtigruten Terminal Skjervøy, North of Lyngen Apartments AS offers accommodation with free WiFi and free private parking. The hotel has family rooms.","“The accommodation was really good, very clean, taking care of the situation with CORONA, nice location and nice nature around...In sum, very good place!”
“Very clean, modern place. Fully equipped kitchenette, supermarkets just a few minutes away and open till late at night. Good place when you want to travel along Norway's coast. Very good beds! Stayed there for a week and had the feeling to be the only guest which was very relaxing. Whenever you need something, help is just a text message away or Line is in the house to solve problems. In the low season, you find your breakfast in your fridge every day which comes very handy when you've been out all night long hunting polar lights and don't feel like getting up at 7 just to be on time for a breakfast buffet. So if you're looking for a cozy place but don't feel like talking to strangers in your vacation, this is your place.”
"
Scandic Flesland Airport,Bergen,Norway, 9.1 ,"Free WiFi, Pets allowed, Family rooms, Non-smoking rooms, 
very good fitness centre
, Restaurant, Bar","Situated 550 yards from the Bergen Airport, this hotel offers a free airport shuttle bus, as well as free WiFi, a 24-hour front desk and lobby shop. Central Bergen is 10.6 miles away.","“Good location for airport travellers, quite modern design and spacious room, large breakfast and many tables”
“It's near the airport, a short walk though and if you have a lot of luggage arrange for a shuttle, especially on your way up to the airport. It's a good alternative to expensive city centre hotels, although getting into the centre by Bybane takes at least 45 minutes. I had a large room which was good for a 4-night stay. Breakfast offer is quite abundant, although there is not really a choice of cheeses, just one boring Gouda, but nice eggs and other cooked stuff. Also, the breakfast room is rather large.  Shower has good water pressure, but could have at least some options to regulate the water jets. There is a safe and a small fridge (which in my case didn't work properly). WiFi access is good and easy to connect.”
"
Clarion Hotel Oslo,Oslo,Norway, 9.0 ,"Free WiFi, Pets allowed, Fitness centre, Non-smoking rooms, Restaurant, Facilities for disabled guests, Bar","Located in the bustling Barcode district of Oslo, this hotel offers a 24-hour front desk and room service for guests. Oslo Opera House and the new Munch Museum are Clarion Hotel Oslo’s closest neighbours.","“The front desk are so lovely and accommodating. Gave me a free upgrade and the room was super spacious and the bed super comfy!”
“Really like the location of the Hotel it's not far to walk going to the city & it's very convenient taking busses.
Good breakfast & a lot of variety to choice from breakfast/lunch 😊”
"
Ydalir Hotel,Stavanger,Norway, 9.2 ,"Free parking, Free WiFi, Pets allowed, Family rooms, Fitness centre, Non-smoking rooms, Tea/coffee maker in all rooms, Bar","This non-profit hotel is located on the University of Stavanger campus, a 3-minute walk from Norwegian Petroleum Directorate. The earnings made by the hotel are donated to the University, which benefits student education. The closest bus stop is only 400 yards away.","“Love the bed. Ok view. Located just next to university. ”
“Very hospital staff, good assistance.The hotel doesn't serve dinner but arrange a wide variety to be delivered to the hotel, which will be put on your hotel bill. Great service!”
"
Senja Fjordhotell,Stonglandseidet,Norway, 9.2 ,Tea/coffee maker in all rooms,"Located in Stonglandseidet, Senja Fjordhotell features ski-to-door access, a terrace, and free WiFi. Among the various facilities are a shared lounge and ski storage space. Guests can enjoy sea views.","“Beautiful new, clean, fresh hotel.
Very comfortable, bright rooms.
Very comfortable beds
Wonderful service
Good food
Enthusiastic staff
Pretty location
Very personal, small scale hotel.”
“Excellent hosts. And a grest location to watch aurora borealis. We arrived much later than expected but the hosts were waiting for us with hot meal - fresh goat steak! Thank you very much. It was unfortunate that we only were able to stay one night.”
"
Bergen Børs Hotel,Bergen,Norway, 9.1 ,"Parking, Free WiFi, Family rooms, Non-smoking rooms, Fitness centre, Restaurant, Bar","Located in an old stock exchange building from 1862, Bergen Børs Hotel offers accommodation in central Bergen, 750 yards from Bergen University. Guests can enjoy cocktails and a variety of local beers at the on-site bar, or relax in the restaurant which focuses on Scandinavian cuisine with locally produced ingredients. Free WiFi is offered.","“The hotel was so beautiful, with very clean and elegant rooms. The pillows in the rooms were amazing, and I loved the lounge and common areas. Breakfast was amazing and the staff were super friendly and helpful. Loved the fact that it didn’t feel so much like a traditonal hotel, but more of a boutique feeling. Great value and would definitely stay again!”
“Excellent location - right in the heart of town, close to the harbourElegant roomsNice toiletries”
"
Tuddal Høyfjellshotel,Tuddal,Norway, 9.0 ,,"Set in Tuddal, Tuddal Høyfjellshotel features a garden and a terrace. Among the facilities of this property are a restaurant, a 24-hour front desk and a concierge service, along with free WiFi. The hotel has family rooms.","“Fantastic dinner and excellent wine list. Very charming old style Norwegian environment. Also check out the next door mountain brewery.”
“The set evening meal and wine package at the Tuddal was fantastic and good value, particularly for Norway.  We were delighted when our 2nd night turned out to be just as good as our first with a completely different menu.  Fresh bread and croissants at breakfast were a wonderful part of the delicious buffet.  Egg and bacon were offered and freshly cooked to order.  Staff were very friendly and efficient.”
"
First Hotel Millennium,Oslo,Norway, 7.9 ,"Free WiFi, Family rooms, Pets allowed, Non-smoking rooms, Facilities for disabled guests, 24-hour front desk, Bar","Located just 10-minutes from Oslo Opera House, First Hotel Millennium is 200 yards from the main shopping street, Steen & Strøm Department Store, Karl Johans gate and 750 yards from Oslo Central Station. Many restaurants, cafes and luxury shopping stores are right around the corner.","“The room with the balcony is a perfect choice if you want to enjoy the sun. The location is pretty central, it is between the opera house and the national theatre. It takes about 15 minutes to walk to Aker Brygge.”
“Very central and affordable for that location; quiet inside hotel, and very fast lifts, large table in quite spacious room”
"
Best Western Plus Hotel Bakeriet,Trondheim,Norway, 8.2 ,"Parking, Free WiFi, Pets allowed, Family rooms, Fitness centre, Restaurant, Bar","This hotel is set in a former 19th-century bakery, just 400 yards from Trondheim Central Station. Room rates include a popular breakfast buffet, WiFi and leisure facility access.","“Overall the hotel is better than we expected based on the pictures. The staff were very nice and helpful.”
“The location was great. Walking distance to everything! We really enjoyed the breakfast as well. A good variety in choices. There’s a coffee machine available in the restaurant at all times- this was a nice surprise.”
"
First Hotel Bergen Marin,Bergen,Norway, 8.0 ,"Free WiFi, Pets allowed, Family rooms, Non-smoking rooms, Fitness centre, Restaurant, Bar",This ,"“Great location, friendly helpful staff, good sized room”
“-Excellent location, right next to Bruggen and the port.
-Very nice view from the room.
-Spacious room and very comfortable and clean.
-Helpful staff”
"
"Radisson Blu Scandinavia Hotel, Oslo",Oslo,Norway, 8.5 ,"1 swimming pool, Parking, Free WiFi, Family rooms, 
good fitness centre
, Bar",This ,"“Frokost: veldig ivaretatt mht Coronna. Rom i 21 etg, utsikt mot Slottsparken, upåklagelig😊, veldig sentralt👍”
“Staff was super friendly 
Breakfast was delicious 
View of the city from the room was really nice 
”
"
"Radisson Blu Atlantic Hotel, Stavanger",Stavanger,Norway, 8.9 ,"Free WiFi, Pets allowed, Family rooms, 
good fitness centre
, Restaurant, Non-smoking rooms, Tea/coffee maker in all rooms, Bar","Offering fjord, city and mountain views from the free top-floor gym and sauna, the eco-friendly Radisson Blu Atlantic is 3 minutes’ walk from Stavanger Central Station. WiFi is also free. Stavanger Old Town is 250 yards away.","“Great room, great view, great location. The restaurant was very good also.”
“I loved everything location, staff and the clean room.”
"
"Radisson Blu Plaza Hotel, Oslo",Oslo,Norway, 8.6 ,"Free WiFi, Family rooms, Non-smoking rooms, 24-hour front desk, Lift, Tea/coffee maker in all rooms","Located in Oslo’s bustling city centre, this 37-storey hotel features a state-of-the-art gym, a rooftop restaurant and modern rooms with free Wi-Fi. ","“Unfortunately no services due to Covid but I stay RBH wherever I travel and that will not change!”
“3 minute walk from station so very handy location. Room was a good size and well furnished. Bed was very comfy. Good range of good food for breakfast. Staff are very friendly and helpful. Good value.  Would stay here again. ”
"
"Radisson Blu Royal Garden Hotel, Trondheim",Trondheim,Norway, 8.1 ,"Parking, Free WiFi, Pets allowed, Family rooms, Airport shuttle, Fitness centre, Bar","Radisson Blu Royal Garden Hotel is beautifully situated beside the Nidelva River, 8 minutes' walk from Torvet Square. It offers modern rooms with a flat-screen, satellite TV. WiFi is free.","“Very nice hotel in a perfect location at the Nidelv river, close to the city centre, the magnificent Nidarosdomen and the old town. Nice breakfast and good facilities. Excellent staff.”
“The staff were very friendly and helpful. The breakfast was delicious and the location perfect.”
"
Citybox Bergen,Bergen,Norway, 8.5 ,"Free WiFi, Pets allowed, Family rooms, Non-smoking rooms, Facilities for disabled guests, 24-hour front desk",Featuring ,"“The staff is very helpful. Their room is very nice and very clean. Location is good, near to city centre. The per day price is comparatively low🙂”
“The room was small but clean and comfrotable.Great location and definetely good value for money.”
"
Hotel Ganga Forest View,Rishīkesh,India, 9.4 ,"Free WiFi, Free parking, Family rooms, Airport shuttle, Room service, Non-smoking rooms, Tea/coffee maker in all rooms","Featuring a shared lounge, terrace and views of lake, Hotel Ganga Forest View is located in Rishīkesh, 1.7 miles from Triveni Ghat. This 3-star hotel offers a tour desk and ticket service. The accommodation provides a 24-hour front desk, airport transfers, room service and free WiFi.","“Hotel staff is very friendly and helpful. Hotel is situated at the banks of Ganges and has a very nice view on the holy river and the forest on the other side. It is situated in a quiet neighbourhood outside city rush and there is very nice walking path along the Ganges. Rooms are very clean with nice furniture. Food they make at the hotel is also very tasteful, and it is very nice to eat on the terrace, especially in the morning when the sun comes out behind the hills. At night hotel staff also sets up a fireplace if it gets chilly outside, so you can enjoy evenings outside by the fire. ”
“The most wonderful and beautiful morning, the view of sun rise from the mountains, the cool breeze such a lovely place to stay ”
"
The Oberoi Mumbai,Mumbai,India, 9.4 ,"1 swimming pool, Free WiFi, Airport shuttle, Family rooms, Free parking, 
fabulous fitness centre
, Bar",Centrally located in ,"“Sushmita at the time of checkin was so prompt and welcoming, staff like her are the pillars for such an establishment. From arrival to checkout everything was smooth and elegant. Would surely visit soon. Special thanks to Mr. Divesh. 💯”
“The checkin staff is amazing the lady was on her toes to  make us feel more comfortable everything was taken well care of. Would surely visit again it was a delight. ♥️”
"
Hotel Pearl Palace,Jaipur,India, 9.0 ,"Free WiFi, Free parking, Family rooms, Airport shuttle, Restaurant, Room service","Set in Jaipur, 0.8 miles from Sindhi Camp, Hotel Pearl Palace offers accommodation with a restaurant, free private parking and a garden. All rooms boast a flat-screen TV with satellite channels and a private bathroom. The accommodation provides a 24-hour front desk, room service and currency exchange for guests.","“Excellent at all levels,such a good experience even in the time of corona virus,they were taking the best precautions”
“The room decor was fabulous, a real change from the large chain hotels.  It was the first time on my trip in India that the room felt like I was in India.  The room was clean and had everything we needed including a really helpful guide to Indian culture and history.The restaurant was superb, located on the roof of the hotel and the food was amazing. Cant fault it at all.”
"
Trident Bandra Kurla,Mumbai,India, 9.1 ,"1 swimming pool, Free WiFi, Airport shuttle, Free parking, 
very good fitness centre
, Bar",The 5-star Trident Bandra Kurla provides an outdoor ,"“It was a perfect stay before our flight!
Even the covid can stop this please. They took care about everything. The staff was super helpful and kind
We had a really good stay in this hotel
I only can recommend this place ”
“Breakfast was excellent Very friendly staff Service was excellent Love to come back”
"
Trident Nariman Point,Mumbai,India, 9.0 ,"1 swimming pool, Free WiFi, Airport shuttle, Family rooms, Free parking, 
fabulous fitness centre
, Tea/coffee maker in all rooms, Bar",The 5-star ,"“The location is exceptional. The food (in -room dining) preparation showed exemplary craftsmanship, and inspite of the pandemic restrictions, the range was very good. Most of all, the hotel felt alive unlike some of the other hotels I have stayed in during the pandemic in Mumbai which feel dystopian ghost-houses! Overall great value for money.”
“The staff were really helpful and were going out of their way to make the stay comfortable. The rooms were cozy, spacious, and clean. The safety measures seemed to be upto the mark.”
"
"Taj Palace, New Delhi",Delhi,India, 9.0 ,"1 swimming pool, Free WiFi, Airport shuttle, Family rooms, 
very good fitness centre
, Tea/coffee maker in all rooms, Bar","Spread over six acres of lush gardens, offering an outdoor swimming pool and panoramic city views, Taj Palace New Delhi is located in New Delhi. WiFi access is available.","“This hotel ranks at the top for care towards their customers. This action orientated host helped us to procure the much needed flight out of India. Without their network in house and at the Delhi airport we would be confined in India for 21 days and more depending on the progress of the virus. Thank you hotel staff..”
“The service at the taj always leaves you speechless..”
"
The Leela Palace New Delhi,Delhi,India, 9.4 ,"1 swimming pool, Free WiFi, 
fabulous fitness centre
, Spa and wellness centre, Restaurant, Tea/coffee maker in all rooms, Bar",Located in ,"“Staff were all very friendly and helpful. The flowers and table settings were beautiful ”
“Cleanliness in particular- hand sanitizers everywhere! ”
"
The Oberoi Grand Kolkata,Kolkata,India, 9.3 ,"1 swimming pool, Free WiFi, Airport shuttle, Free parking, 24-hour front desk, Room service, Bar",Located in ,"“My stay at the Oberoi Grand was wonderful! This time I had a room with balcony. I loved it. I love Kolkata but sometimes I wasn't sure if I should explore the city or stay at the hotel.The staff is so nice and attentive. They always try their best.”
“Perfectly cooked food. The added touch, the chefs came and walked around and spoke with us about the dishes and asked if we had enjoyed our meal.  Lovely.”
"
Backpackers Villa,Jaipur,India, 9.0 ,"Free WiFi, Free parking, Family rooms, Airport shuttle, Non-smoking rooms","Situated in Jaipur, within less than 0.6 miles of Sindhi Camp and 1.7 miles of City Palace, Backpackers Villa features accommodation with a shared lounge and free WiFi as well as free private parking for guests who drive. Boasting family rooms, this property also provides guests with a terrace. The accommodation offers evening entertainment and a shared kitchen.","“Jass and Alex were great hosts and they make the best food! It is great vibe all around and seems to attract like minded people too. I stayed in the dorm and there was ensuite bathroom, personal lockers with padlocks provided and plugs for every bed. Location was walking distance to most of the attractions in town.”
“One of the nicest guesthouses I've ever been to. The atmosphere is genuinely friendly, especially if you go for the huge common dinner on the terrace with the owners and the other guests. Even if you don't wanna partake, the cozy and neat double rooms make this place a no-brainer. Oh, and it's located in a QUIET alley within walking distance of the pink city and some fine dining places. ”
"
